name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;894;0;940;3079;1786;3079;1544;0
header;147;163;147;198;1768;198;1768;163
A;949;229;949;256;970;256;970;229
A;929;463;929;464;931;464;931;463
A;928;829;928;835;934;835;934;829
B;953;903;953;930;972;930;972;903
A;928;1559;928;1564;933;1564;933;1559
C;949;1576;949;1604;969;1604;969;1576
B;1126;1835;1126;1854;1141;1854;1141;1835
D;1679;2004;1679;2031;1701;2031;1701;2004
D;1444;2049;1444;2076;1465;2076;1465;2049
D;953;2219;953;2245;974;2245;974;2219
A;928;2286;928;2294;935;2294;935;2286
A;980;2643;980;2649;985;2649;985;2643
A;1666;2757;1666;2762;1670;2762;1670;2757
