name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;352;0;491;3073;1006;3073;960;0
header;138;175;138;208;1768;208;1768;175
A;945;240;945;267;967;267;967;240
A;504;245;504;252;510;252;510;245
A;589;430;589;436;595;436;595;430
B;487;466;487;482;509;482;509;466
A;919;567;919;574;925;574;925;567
A;920;613;920;619;925;619;925;613
B;944;919;944;946;966;946;966;919
A;841;1029;841;1035;846;1035;846;1029
A;920;1167;920;1173;927;1173;927;1167
A;426;1466;426;1466;426;1466;426;1466
C;943;1595;943;1627;966;1627;966;1595
B;902;1715;902;1733;928;1733;928;1715
D;941;2275;941;2301;961;2301;961;2275
A;916;2540;916;2546;922;2546;922;2540
B;669;2666;669;2681;692;2681;692;2666
B;863;2701;863;2717;886;2717;886;2701
C;535;2702;535;2729;561;2729;561;2702
B;599;2702;599;2717;621;2717;621;2702
A;626;2868;626;2870;628;2870;628;2868
